,ticker,interval,price_type,next_forecast,next_true,mape,p,d,q,trained_on,rank
2,ADI,1d,Close,191.30999755859372,191.30999755859372,0.0,1,0,0,2023-08-18 00:31,1
3,ADSK,1d,Close,203.4900054931641,203.4900054931641,0.0,3,0,1,2023-08-18 00:31,2
36,SAP,1d,Close,133.2899932861328,133.2899932861328,0.0,1,0,1,2023-08-18 00:31,3
48,WIT,1d,Close,4.78000020980835,4.78000020980835,0.0,1,0,0,2023-08-18 00:31,4
34,ORCL,1d,Close,101.837836698609,101.7699966430664,0.01932295302279386,0,1,1,2023-08-18 00:31,5
33,ORAN,1d,Close,12.290000915527342,12.380000114440918,0.020005872881336255,0,1,0,2023-08-18 00:31,6
29,NOW,1d,Close,517.1999816894531,511.3900146484375,0.025037074212946576,0,1,0,2023-08-18 00:31,7
43,TTD,1d,Close,69.22999572753906,68.5199966430664,0.026503927134117578,0,1,0,2023-08-18 00:31,8
18,INFY,1d,Close,15.842968602701,15.649999618530272,0.03028717035261468,1,1,1,2023-08-18 00:31,9
10,CHT,1d,Close,40.64999771118165,40.61000061035156,0.03193287890437855,0,1,0,2023-08-18 00:31,10
46,WBD,1d,Close,12.309999465942385,12.15999984741211,0.03596426170253032,0,1,0,2023-08-18 00:31,11
16,GOOGL,1d,Close,126.11000061035158,125.0500030517578,0.037701629481751917,0,1,0,2023-08-18 00:31,12
35,PANW,1d,Close,194.77000427246097,192.1100006103516,0.044103407862193036,0,1,0,2023-08-18 00:31,13
9,CDNS,1d,Close,215.43807588437312,211.6300048828125,0.04466445603479026,0,1,2,2023-08-18 00:31,14
41,TMUS,1d,Close,141.8400115966797,141.60000610351562,0.05093376871401534,0,1,0,2023-08-18 00:31,15
38,SNPS,1d,Close,411.8918737640867,401.6799926757813,0.05099969783886297,0,1,2,2023-08-18 00:31,16
0,AAPL,1d,Close,176.74998474121094,174.1999969482422,0.05245530464315175,0,1,0,2023-08-18 00:31,17
28,NFLX,1d,Close,376.9599914550781,363.010009765625,0.05251268888347658,0,1,0,2023-08-18 00:31,18
21,LRCX,1d,Close,601.3400268554688,585.0700073242188,0.054095580591842385,0,1,0,2023-08-18 00:31,19
25,MSFT,1d,Close,327.9700012207031,321.17999267578125,0.05916803251286893,0,1,0,2023-08-18 00:31,20
44,TTWO,1d,Close,137.29998779296875,137.25,0.06046588385328341,0,1,0,2023-08-18 00:31,21
23,META,1d,Close,256.4600067138672,248.32000732421875,0.0639451997915586,0,1,0,2023-08-18 00:31,22
31,NVDA,1d,Close,322.7062369260219,311.760009765625,0.06644962167030298,1,1,1,2023-08-18 00:31,23
7,ATVI,1d,Close,80.57047804270705,79.05999755859375,0.06651465682655953,0,1,1,2023-08-18 00:31,24
4,AMD,1d,Close,112.56999969482422,108.0,0.07276911669854114,0,1,0,2023-08-18 00:31,25
26,MSI,1d,Close,297.2500305175781,293.760009765625,0.07760409236204235,0,1,0,2023-08-18 00:31,26
19,INTU,1d,Close,458.69037922895325,454.1099853515625,0.08975104661380942,1,1,2,2023-08-18 00:31,27
20,KLAC,1d,Close,442.82000732421875,420.80999755859375,0.09272116463418582,0,1,0,2023-08-18 00:31,28
6,APH,1d,Close,78.62000274658203,76.29000091552734,0.09426037287706682,0,1,0,2023-08-18 00:31,29
17,IBM,1d,Close,130.73999786376953,127.5,0.11185583967622618,0,1,0,2023-08-18 00:31,30
45,TXN,1d,Close,177.8300018310547,170.86000061035156,0.13014119512446348,0,1,0,2023-08-18 00:31,31
12,DDOG,1d,Close,92.16999816894533,93.87000274658205,0.15289567982300906,0,1,0,2023-08-18 00:31,32
13,DIS,1d,Close,89.55999755859374,91.81999969482422,0.15835172142611217,0,1,0,2023-08-18 00:31,33
22,MCHP,1d,Close,82.94000244140625,79.19000244140625,0.16017142374022406,0,1,0,2023-08-18 00:31,34
32,NXPI,1d,Close,186.52999877929688,177.3699951171875,0.1605977394294307,0,1,0,2023-08-18 00:31,35
40,TEL,1d,Close,129.0500030517578,124.52999877929688,0.17004883556712458,0,1,0,2023-08-18 00:31,36
1,ACN,1d,Close,305.2200012207031,290.95001220703125,0.1743461822044563,0,1,0,2023-08-18 00:31,37
11,CSCO,1d,Close,50.58000183105468,48.81999969482422,0.17912673973928936,0,1,0,2023-08-18 00:31,38
8,BIDU,1d,Close,132.9000015258789,125.9499969482422,0.18664014872566326,0,1,0,2023-08-18 00:31,39
30,NTES,1d,Close,92.69999694824219,88.52999877929688,0.190486745311026,0,1,0,2023-08-18 00:31,40
24,MPWR,1d,Close,481.54995727539057,448.3999938964844,0.19957065866317417,0,1,0,2023-08-18 00:31,41
15,GFS,1d,Close,61.12000274658203,57.400001525878906,0.2003306274328304,0,1,0,2023-08-18 00:31,42
14,FTNT,1d,Close,71.60999298095703,69.5199966430664,0.20640899550791017,0,1,0,2023-08-18 00:31,43
37,SNOW,1d,Close,173.08000183105472,178.47000122070312,0.21169029140313828,0,1,0,2023-08-18 00:31,44
27,MU,1d,Close,71.1500015258789,66.2300033569336,0.21516171036999063,0,1,0,2023-08-18 00:31,45
39,STM,1d,Close,47.51000213623047,45.40999984741211,0.2344079703917567,0,1,0,2023-08-18 00:31,46
42,TSLA,1d,Close,200.8199920654297,188.8699951171875,0.2704086705688083,0,1,0,2023-08-18 00:31,47
47,WDAY,1d,Close,216.03001403808594,196.41000366210935,0.276309839645805,0,1,0,2023-08-18 00:31,48
5,ANET,1d,Close,161.97000122070312,145.3699951171875,0.35424520853432095,0,1,0,2023-08-18 00:31,49
