Ticker,industry,sector,averageVolume,averageVolume10days,marketCap
SPT,Software—Application,Technology,958001,646040,2568237312
OLPX,Specialty Retail,Consumer Cyclical,1918101,1804180,2564765952
PTEN,Oil & Gas Drilling,Energy,3723877,4296900,2562486016
MXL,Semiconductors,Technology,775142,855650,2561794560
AXNX,Medical Devices,Healthcare,578565,535100,2561507328
PRGS,Software—Application,Technology,366100,510300,2562806784
CSWI,Specialty Industrial Machinery,Industrials,50245,79550,2553490944
TCBI,Banks—Regional,Financial Services,462677,296650,2543795712
ALRM,Software—Application,Technology,240119,193590,2539815680
LAES,Semiconductors,Technology,126214,36090,131867576
CVCO,Residential Construction,Consumer Cyclical,62967,51790,2535327232
STAA,Medical Instruments & Supplies,Healthcare,643955,591900,2530243072
VIAV,Communication Equipment,Technology,1907675,2190160,2527020544
IOSP,Specialty Chemicals,Basic Materials,81483,71170,2525477376
FIBK,Banks—Regional,Financial Services,805036,990650,2524855552
ACIW,Software—Infrastructure,Technology,645068,719380,2523902464
CRDO,Communication Equipment,Technology,2105736,2034690,2520925952
PSEC,Asset Management,Financial Services,1390170,1109940,2505512704
SHOO,Footwear & Accessories,Consumer Cyclical,951832,955150,2499936000
DNUT,Grocery Stores,Consumer Defensive,986860,1302220,2491042048
DORM,Auto Parts,Consumer Cyclical,99018,129740,2491030784
CSIQ,Solar,Technology,1126359,1062720,2477522176
PZZA,Restaurants,Consumer Cyclical,615139,454670,2469127680
AKRO,Biotechnology,Healthcare,727618,1119820,2463091200
IMVT,Biotechnology,Healthcare,1067814,1053850,2448056320
BEAM,Biotechnology,Healthcare,822859,681200,2433624832
TWKS,Information Technology Services,Technology,1074254,1810270,2433292288
XENE,Biotechnology,Healthcare,374557,288260,2431257856
RUM,Software—Application,Technology,1437049,904010,2428430848
ABCB,Banks—Regional,Financial Services,471732,460950,2428086528
JAMF,Software—Application,Technology,542922,1188790,2422706176
PI,Communication Equipment,Technology,693778,684660,2418618880
OZON,Internet Retail,Consumer Cyclical,0,0,2422347008
VICR,Electronic Components,Technology,337493,497460,2414455552
CVAC,Biotechnology,Healthcare,668870,1421460,2410886144
ICFI,Consulting Services,Industrials,84772,116380,2401307136
ARLP,Thermal Coal,Energy,450239,342600,2398897664
TRIP,Travel Services,Consumer Cyclical,2786234,2538370,2394553600
BLMN,Restaurants,Consumer Cyclical,1692793,1488330,2386612480
WSFS,Banks—Regional,Financial Services,287729,242350,2379297536
RIOT,Capital Markets,Financial Services,23276439,25818020,2378502656
ALGT,Airlines,Industrials,201160,219280,2377340928
NAVI,Credit Services,Financial Services,1459086,1465940,2376277504
CATY,Banks—Regional,Financial Services,338914,323610,2376269312
OLK,Diagnostics & Research,Healthcare,103706,148570,2376194816
ATAT,Lodging,Consumer Cyclical,358004,320880,2375876352
NUVL,Biotechnology,Healthcare,298539,346960,2373972992
FHB,Banks—Regional,Financial Services,987880,620410,2370752256
WOOF,Specialty Retail,Consumer Cyclical,2932040,1765130,2365726208
ARCB,Trucking,Industrials,278336,401610,2364659968
MGPI,Beverages—Wineries & Distilleries,Consumer Defensive,120822,144870,2360771072
XRX,Information Technology Services,Technology,1725711,1694300,2360648192
VTYX,Biotechnology,Healthcare,827881,1339950,2359847168
GSHD,Insurance—Diversified,Financial Services,196842,189430,2356174592
SIMO,Semiconductors,Technology,533122,949920,2338511104
XPEL,Auto Parts,Consumer Cyclical,129381,154690,2319644160
ATRC,Medical Instruments & Supplies,Healthcare,268649,230050,2311093248
MYRG,Engineering & Construction,Industrials,111963,75670,2309894912
PSMT,Discount Stores,Consumer Defensive,140370,126440,2300281600
GBDC,Asset Management,Financial Services,667909,639530,2292801024
MGRC,Rental & Leasing Services,Industrials,114201,133190,2275354112
LZ,Specialty Business Services,Industrials,1272181,954200,2260925952
CALM,Farm Products,Consumer Defensive,917147,763280,2248937984
CORT,Biotechnology,Healthcare,667418,551660,2245889536
SFNC,Banks—Regional,Financial Services,611593,559090,2242228480
VRNT,Software—Infrastructure,Technology,437673,504750,2237166592
EVCM,Software—Infrastructure,Technology,216734,218990,2228909056
ALVO,Drug Manufacturers—Specialty & Generic,Healthcare,83288,166640,2221431552
DICE,Biotechnology,Healthcare,1437739,6580640,2218738944
MRTX,Biotechnology,Healthcare,1021688,1000760,2215175168
MLTX,Biotechnology,Healthcare,702113,2148310,2213283072
NTCT,Software—Infrastructure,Technology,399400,324970,2196702208
YY,Internet Content & Information,Communication Services,607255,742760,2196073984
FA,Specialty Business Services,Industrials,327309,442590,2188049664
EBC,Banks—Regional,Financial Services,942519,760670,2182940672
NMIH,Insurance—Specialty,Financial Services,353927,363010,2181100800
GDRX,Health Information Services,Healthcare,1105480,657800,2178805248
GOGO,Telecom Services,Communication Services,514695,624750,2178246912
RNW,Utilities—Renewable,Utilities,713572,622350,2173667584
GDS,Information Technology Services,Technology,1256960,700610,2179495168
VCTR,Asset Management,Financial Services,347529,517460,2161868544
HCM,Drug Manufacturers—Specialty & Generic,Healthcare,120855,150070,2155965440
GLNG,Oil & Gas Midstream,Energy,949909,962740,2154444032
ULCC,Airlines,Industrials,1435736,1219990,2148022016
NUVA,Medical Devices,Healthcare,817213,594810,2140976384
RDNT,Diagnostics & Research,Healthcare,521909,970040,2122357248
BATRK,Entertainment,Communication Services,115119,93300,2110041216
RVNC,Biotechnology,Healthcare,1349518,1455650,2106892800
PAX,Asset Management,Financial Services,418462,1198890,2103387904
HRMY,Biotechnology,Healthcare,557868,441370,2088818304
TRMD,Oil & Gas Midstream,Energy,371729,227100,2103960320
ATEC,Medical Devices,Healthcare,1207277,1839030,2084362240
SONO,Consumer Electronics,Technology,2207401,1756210,2083949312
ENLT,Utilities—Renewable,Utilities,72450,71690,2071939328
CBRL,Restaurants,Consumer Cyclical,544098,445860,2063717632
AVDX,Software—Infrastructure,Technology,2035893,1784290,2054752256
INDB,Banks—Regional,Financial Services,260516,251420,2037692544
MRCY,Aerospace & Defense,Industrials,549744,1384550,2034907904
PPBI,Banks—Regional,Financial Services,654286,453930,2026169984
NEO,Diagnostics & Research,Healthcare,984811,851370,2013180800
SDA,Auto & Truck Dealerships,Consumer Cyclical,825111,700280,2010191360
CENTA,Packaged Foods,Consumer Defensive,204022,221840,2007750912
GTX,Auto Parts,Consumer Cyclical,586588,722880,2007739392
SOVO,Packaged Foods,Consumer Defensive,635700,579400,2006299264
FULT,Banks—Regional,Financial Services,1925637,1186230,2004071680
CENT,Packaged Foods,Consumer Defensive,45632,46800,2004035840
